"";"classe 1";"classe 2";"classe 3";"classe 4"
"operação";0,713;0,143;0,772;0,03
"limpar";0;0,318;0;0
"limitação";0,055;0,174;0,004;0,05
"gonzaga";0,124;0,007;0,041;0
"feira";0;0,012;0;0
"enfoque";0,12;0,126;0,005;0
"detalhado";0,002;0,191;0,175;0,001
"confiabilidade";0;0;0,175;0,004
"colhido";0,023;0,167;0,004;0
"coerência";0;0,004;0,016;0,02
"coação";0,228;0,097;0,559;0,89
"autorização";0;0,219;0,009;0,179
"assentada";0,089;0,222;0,005;0,575
"aduzir";0,002;0,267;0,019;0,901
"admar";0,124;0,002;0,041;0
"vedação";0,253;0,328;0,006;0,006
"sério";0,35;0,005;0,364;0,002
"superar";0,002;0,145;0,117;0,63
"secretário";0;0,003;0;0,002
"rs";0;0;0,002;0
"refutar";0,976;0;0,005;0,092
"prestígio";0;0,81;0,005;0,042
"paradigma";0;0,003;0,016;0,003
"normatividade";0;0;0,896;0,009
"luciana";0;0,001;0,009;0
"limitar";0,209;0,144;0,015;0,523
"legitimar";0,696;0,017;0,024;0
"justificativo";0,026;0,81;0,888;0,042
"inicialmente";0,003;0,235;0,751;0,02
"honra";0,004;0,877;0,005;0
"havan";0,44;0,664;0,001;0,075
"existente";0,365;0,618;0,217;0,009
"estratégico";0,013;0;0,05;0,006
"embasar";0,535;0,097;0,156;0,796
"elucidar";0,054;0,75;0,469;0,079
"elegível";0;0,004;0;0,001
"desvalor";0;0;0,001;0
"desordem";0;0;0,001;0,002
"designar";0,187;0,003;0,196;0
"convencer";0,799;0;0,397;0,001
"constitucionalmente";0,725;0,921;0,001;0,001
"aplicado";0;0;0,016;0,119
"alerta";0;0;0,05;0,12
"afronta";0,066;0,006;0,05;0,009
"áudio";0,001;0,542;0;0,023
"área";0;0,128;0,039;0,481
"tutelar";0;0;0,001;0
"sequência";0,013;0;0,606;0,017
"seguida";0,086;0;0,384;0,01
"seara";0,003;0,005;0,007;0,033
"rocha";0,345;0,005;0;0,602
"proprietário";0,003;0,308;0,564;0,091
"pr";0,001;0,07;0,003;0
"paula";0,074;0,117;0;0,136
"parcial";0,405;0,031;0,238;0,816
"natural";0,388;0,831;0,297;0,817
"mobilizar";0;0;0,217;0
"massivo";0;0;0,006;0,981
"links";0,125;0;0,007;0,006
"interação";0;0;0,019;0,004
"implicação";0,803;0,529;0,021;0,014
"ilustre";0;0,13;0,03;0,204
"humberto";0,054;0,014;0,178;0,099
"guardar";0;0,002;0,056;0,01
"evidentemente";0,253;0,043;0,116;0,023
"destinatário";0,002;0,057;0,002;0,012
"despeito";0,001;0,612;0,027;0,331
"delinear";0;0,004;0,002;0,343
"cuidado";0;0,012;0,116;0,003
"comparecer";0;0,123;0;0,004
"antecipar";0,151;0,07;0,388;0,278
"alberto";0,001;0,081;0;0,006
"agravar";0,705;0,049;0,05;0,001
"afastado";0,799;0,01;0,044;0
"aceitação";0;0;0,008;0,007
"útil";0;0,037;0,007;0,138
"viés";0,861;0,328;0,019;0,343
"tramitação";0;0;0,05;0,001
"totalização";0,001;0;0,063;0,014
"tela";0,343;0,98;0,265;0,969
"sr";0,458;0,026;0;0,038
"semana";0;0,542;0;0,008
"saneamento";0;0,145;0,006;0,001
"refletir";0,086;0,706;0,004;0,261
"punir";0,001;0,015;0,94;0
"proporcional";0,002;0;0,002;0
"prol";0,103;0,044;0,101;0,233
"ocupar";0;0;0,116;0,232
"normativo";0,049;0;0,008;0
"napoleão";0,072;0;0,002;0
"mandatário";0,005;0,185;0,117;0,002
"lóssio";0,001;0;0,003;0
"inútil";0;0;0,071;0
"interessar";0,086;0,15;0;0,664
"infração";0,072;0,004;0,117;0
"implicar";0,082;0,006;0,063;0,009
"identificado";0,005;0,001;0,917;0,885
"golpe";0,001;0,743;0;0,007
"esquema";0,47;0,014;0,174;0,003
"entregar";0,001;0,264;0;0,003
"embargante";0;0,001;0,003;0,002
"contradição";0;0,011;0,003;0,232
"conexo";0;0,001;0,002;0,037
"ba";0,166;0,037;0,384;0,004
"argumentar";0,151;0;0,011;0,002
"andar";0;0,18;0;0,006
"ajuizar";0;0;0,056;0,296
"adulteração";0,001;0,024;0;0,001
"versar";0,002;0,342;0,292;0,157
"trabalhador";0,002;0,029;0;0,003
"tirar";0,001;0,906;0;0,004
"suspensão";0,876;0,045;0,009;0
"recair";0,005;0,07;0,978;0,232
"quarto";0,001;0,001;0;0,001
"propiciar";0,023;0,001;0,002;0,003
"pragmático";0;0;0,472;0
"paz";0;0,057;0;0
"ocorrido";0,086;0,128;0,09;0,065
"netto";0,202;0,013;0,008;0
"mão";0,001;0,005;0;0,069
"lição";0,04;0,005;0,056;0
"ids";0,701;0,743;0;0,001
"fixação";0;0,001;0,002;0,547
"extrapolar";0,473;0,083;0,13;0
"eis";0,016;0,812;0,292;0,157
"descrito";0,038;0,191;0,008;0,131
"credibilidade";0;0;0,145;0,032
"comício";0;0;0,027;0,331
"associar";0,7;0,074;0,636;0,065
"aptidão";0,338;0,342;0,002;0
"aprovação";0,28;0,417;0,001;0,337
"ampliar";0,038;0,235;0,145;0,032
"agro";0,019;0,936;0,04;0,452
"tô";0;0,011;0;0,001
"suficientemente";0,001;0,007;0,005;0,125
"sc";0,002;0,001;0,004;0
"rn";0;0;0,003;0
"relembrar";0,973;0,15;0,221;0,745
"proclamação";0,336;0,25;0,353;0,327
"preencher";0,358;0,206;0,039;0,115
"posse";0,007;0,606;0;0,059
"perder";0,228;0,612;0;0,179
"ordenamento";0,08;0,003;0,006;0
"operandi";0,017;0;0,006;0,015
"novembro";0,004;0,113;0;0,169
"movimentação";0,834;0,542;0,101;0,019
"modus";0,027;0;0,008;0,002
"margem";0,004;0,195;0,071;0,001
"ligado";0,239;0,032;0,248;0,896
"lewandowski";0,824;0,828;0,271;0,308
"interferir";0,008;0,096;0,58;0
"fundado";0;0,004;0,039;0,023
"extremamente";0,172;0,485;0,013;0,956
"externo";0,016;0,15;0;0,02
"excesso";0,071;0,755;0,03;0
"concernir";0,011;0,001;0,559;0,211
"censura";0,309;0,058;0,011;0,143
"avaliação";0,872;0,021;0,071;0
"aprovar";0,28;0,002;0;0,011
"adiante";0,338;0,024;0,145;0,961
"vii";0,794;0,317;0,044;0,602
"tendente";0,005;0,675;0,01;0
"rebeca";0,01;0,304;0,408;0,329
"re";0,037;0,003;0,017;0
"pronunciar";0;0,003;0,08;0,017
"projeto";0,011;0,001;0,017;0,003
"penalidade";0;0;0,002;0
"odebrecht";0;0,01;0,153;0,004
"milhar";0;0;0,05;0
"manutenção";0,203;0,174;0,187;0,115
"interpretar";0;0,285;0,034;0,051
"inteiro";0,177;0,652;0;0,013
"expediente";0,007;0,101;0,001;0,059
"encerramento";0,127;0,566;0,321;0,179
"deus";0,027;0,428;0;0,022
"criminoso";0,016;0;0,978;0,051
"chance";0;0,957;0,18;0
"capítulo";0,001;0,113;0,504;0,008
"apertar";0,001;0,012;0;0,005
"anuência";0,071;0;0,18;0
"alegadamente";0,148;0,967;0,278;0,532
"agosto";0;0;0,699;0,005
"suma";0,023;0,081;0,072;0,341
"substancialmente";0,013;0,009;0,003;0
"subsequente";0,537;0,003;0,08;0
"semelhante";0;0,174;0,426;0,023
"salomão";0;0,035;0,223;0,263
"resp";0,019;0,002;0,011;0
"pronto";0,151;0,128;0,656;0,007
"privilegiado";0,011;0,231;0,017;0
"postular";0;0,001;0,18;0,017
"postulado";0,163;0,04;0,098;0,036
"piramidal";0,331;0,479;0,497;0,245
"municipal";0;0,001;0;0,673
"menor";0,582;0,003;0,226;0,169
"medo";0,181;0,361;0;0,002
"manipular";0,001;0;0;0,001
"julho";0;0;0,951;0,015
"inclusão";0,001;0,013;0,426;0,728
"funcional";0;0,743;0,201;0
"extinção";0;0;0,005;0,08
"expressivo";0,309;0,008;0,034;0,745
"exclusão";0,191;0,25;0,001;0,002
"efetividade";0;0;0,003;0,013
"dinheiro";0,045;0,08;0,611;0,401
"detectar";0,364;0,148;0,275;0,135
"conformação";0,005;0,009;0,003;0
"conflito";0,103;0,814;0,013;0
"comportar";0,705;0,967;0,516;0,337
"compatível";0,098;0,159;0,353;0,017
"caminho";0,039;0,015;0,002;0,009
"basear";0,047;0,814;0;0,133
"andré";0,94;0,304;0,032;0,329
"velloso";0,973;0,001;0,036;0
"tramitar";0,226;0,001;0;0,023
"teste";0,001;0,005;0;0,001
"sujeitar";0,973;0,011;0,003;0
"seduc";0,022;0,003;0;0,006
"rua";0;0;0;0,004
"prover";0,309;0,001;0,011;0
"preparar";0;0,001;0;0,001
"positivo";0,07;0,008;0,127;0,532
"ouvido";0,294;0,397;0;0,007
"narrativo";0,752;0,008;0,978;0,02
"majoritário";0,989;0,019;0,005;0
"magnitude";0,007;0,542;0,004;0
"lindolfo";0,421;0,236;0,339;0,225
"ix";0,01;0,67;0,275;0,175
"instrutórios";0;0,001;0,005;0,001
"instruir";0,033;0,816;0,611;0,108
"indicativo";0,604;0,124;0,753;0,192
"imediatamente";0,037;0,044;0,001;0,004
"gonet";0,203;0,248;0,354;0,298
"genérico";0,002;0,18;0,18;0,481
"fruto";0,989;0;0,05;0,011
"foco";0,21;0;0,064;0,044
"favorecer";0,083;0;0,009;0,071
"explicitar";0,226;0,324;0,013;0,05
"enquadramento";0,058;0,368;0,004;0
"emprestar";0;0,004;0,388;0,002
"eficácia";0;0,263;0,064;0,115
"definição";0,646;0,534;0,015;0,037
"definitivo";0;0,007;0,056;0,037
"continuidade";0;0,889;0,248;0,009
"conotação";0,124;0,012;0,004;0,091
"característica";0,007;0;0,039;0,673
"caos";0,037;0;0,005;0,001
"aprimoramento";0,006;0;0,09;0,007
"antidemocrático";0,001;0;0,101;0,002
"súmula";0,089;0;0,004;0
"sorte";0,876;0,183;0,226;0,925
"salvo";0,725;0,417;0,275;0,027
"residir";0,107;0,265;0,005;0,053
"redação";0,047;0,542;0,004;0
"planalto";0;0;0,516;0,003
"perfeitamente";0,532;0,338;0,064;0,981
"orador";0,011;0,154;0;0,012
"mudança";0,358;0,044;0,37;0,059
"mpe";0,019;0,265;0,143;0,942
"motivar";0,107;0,016;0,143;0,004
"mateus";0;0,001;0;0,002
"localizar";0,04;0,102;0;0,141
"legislador";0,055;0;0,039;0
"justo";0;0,001;0,426;0,263
"irrelevante";0,103;0,216;0,933;0,564
"instalar";0,616;0,003;0,699;0,005
"incompatível";0,009;0,206;0,039;0,023
"félix";0,06;0,236;0,339;0,965
"flávia";0,167;0,185;0,285;0,404
"dezena";0,001;0,298;0;0,084
"decisum";0,003;0,002;0,005;0,009
"decidido";0;0,001;0,005;0,465
"convencimento";0,001;0,542;0,039;0,263
"confirmação";0,308;0,653;0;0,043
"condão";0;0,097;0,004;0,896
"cautelar";0,803;0,154;0,006;0
"belo";0,002;0,083;0,101;0
"atestar";0,07;0,002;0,831;0,175
"arquivo";0,15;0,209;0;0,007
"aplicável";0;0,012;0,017;0,634
"anexo";0,177;0,274;0,106;0,26
"afigurar";0,921;0,015;0,468;0,001
"abstrato";0;0;0,101;0,971
"universidade";0,002;0;0,16;0,401
"tre";0,239;0,097;0,766;0,001
"the";0,052;0;0,011;0,036
"suposição";0,058;0,001;0,666;0,075
"restrito";0,052;0,758;0,011;0
"proclamar";0,215;0,022;0,012;0,201
"privacidade";0,384;0,01;0,252;0,518
"prender";0;0,002;0;0,013
"pingo";0,004;0,967;0;0,001
"pertencer";0,055;0,032;0,024;0
"permanecer";0,294;0,043;0,016;0,002
"perfeito";0,151;0,184;0,001;0,823
"patrimonial";0,001;0,001;0,004;0
"nogueira";0;0,065;0;0,003
"máquina";0;0;0,825;0,819
"jacques";0,396;0,075;0,152;0,027
"inovação";0,646;0,81;0,004;0,004
"ignorar";0;0;0,05;0,308
"horizonte";0,009;0,015;0,044;0
"etapa";0,215;0,016;0,056;0,037
"emitir";0,148;0,465;0,017;0,175
"efetuar";0,723;0,408;0,678;0,392
"divergir";0;0,041;0,113;0,027
"determinante";0,058;0;0,004;0
"coordenado";0,009;0;0,004;0,027
"colega";0,023;0,003;0;0,001
"apreciar";0;0,015;0,015;0,069
"and";0,125;0;0,007;0,006
"alheio";0,202;0,397;0,724;0,847
"alexandre";0,364;0,43;0;0,004
"vereador";0,003;0,012;0;0,06
"substituir";0,011;0,417;0,005;0
"substancial";0,169;0,574;0,611;0,108
"sic";0,083;0,016;0;0,002
"rhc";0,004;0;0,005;0
"retomar";0,04;0,978;0,568;0,007
"recebimento";0,488;0,815;0,251;0,959
"preferencial";0;0,417;0,005;0
"polastro";0;0,002;0;0,003
"pertencente";0,009;0,207;0,957;0,132
"outrossim";0,096;0,096;0,008;0,02
"originário";0;0,113;0,032;0,026
"noticiado";0,616;0,816;0;0,015
"minimamente";0,202;0,001;0,028;0,007
"medeiros";0,255;0,093;0,176;0,086
"manifesto";0,011;0,113;0,017;0
"lastro";0;0,133;0,01;0,002
"lastrear";0,058;0,003;0,024;0,003
"jovem";0;0,264;0;0,001
"inquirição";0,363;0,242;0,7;0,011
"indivíduo";0;0,08;0,404;0,098
"história";0,001;0;0,105;0,013
"flávio";0,003;0,261;0;0,012
"expedição";0,44;0,001;0;0,126
"expectativa";0,004;0,059;0,275;0,027
"etc";0,753;0,758;0,174;0,226
"estabilizar";0;0,004;0,008;0,022
"eieitoral";0,973;0,006;0,01;0
"desvirtuamento";0,03;0,465;0,017;0
"desprovimento";0,011;0;0,005;0
"depreender";0,117;0,513;0,213;0,03
"delimitação";0;0,47;0,005;0,201
"delegado";0;0,001;0;0,001
"debater";0,055;0,007;0,022;0,006
"cruz";0,019;0,011;0,361;0,452
"convocação";0,004;0;0,504;0,071
"conversar";0,001;0,011;0;0,001
"contribuição";0,024;0,268;0,001;0,1
"complexo";0,897;0,104;0,306;0,381
"comando";0,085;0,399;0;0,013
"claramente";0,03;0,417;0;0,337
"circulação";0;0;0,005;0,573
"cidadania";0,004;0,059;0,005;0
"baseado";0,617;0,978;0,028;0,137
"azevedo";0,074;0,006;0,206;0,78
"anti";0,083;0,003;0,009;0,235
"agravante";0,001;0,869;0,16;0,015
"adulterado";0,004;0,619;0;0,002
"abster";0,227;0,019;0,015;0,135
"vício";0;0,011;0,024;0,018
"unidade";0,006;0,574;0;0,429
"tático";0,005;0;0,005;0,093
"suprir";0,002;0,348;0,633;0,006
"soberano";0,419;0,345;0,022;0,029
"senão";0,709;0,786;0,024;0,172
"rememorar";0,125;0,138;0,072;0,075
"reiteração";0,088;0,345;0,698;0,216
"recentemente";0,696;0,281;0,666;0,772
"realizado";0,003;0;0,739;0,019
"publicitário";0,38;0,011;0,021;0,666
"processar";0,019;0,001;0,003;0,093
"perguntar";0;0,011;0;0,001
"percepção";0,616;0;0,339;0,015
"pc";0,468;0,087;0,064;0,008
"pautar";0,015;0,702;0,028;0,301
"parcialidade";0;0,399;0,005;0,001
"link";0,019;0;0,079;0,007
"inviabilizar";0,019;0,022;0,019;0,053
"instauração";0,541;0,001;0;0,013
"incumbir";0,001;0,004;0,724;0,847
"incabível";0;0,003;0,006;0,666
"impulsionar";0,011;0,154;0,032;0,001
"governamental";0,001;0;0,019;0,053
"funcionar";0,003;0,58;0;0,055
"fragilidade";0;0,007;0,143;0,381
"figura";0,014;0;0,306;0,093
"externar";0,541;0;0,019;0,201
"exclusivo";0,38;0,001;0,021;0,701
"erro";0,103;0;0,951;0,005
"desempenho";0,541;0,265;0,005;0
"descartar";0,384;0,132;0,039;0,201
"demandar";0,317;0,154;0,021;0,014
"delação";0;0,002;0,119;0,003
"corresponder";0,899;0,304;0,951;0,212
"conjectura";0,016;0,296;0,196;0,711
"componente";0,103;0,338;0,021;0,004
"ciro";0,001;0,092;0;0,004
"averiguar";0;0,003;0,16;0,108
"automatizar";0,242;0,304;0;0,329
"assessoria";0,092;0,078;0,004;0,01
"arquivamento";0;0,001;0,666;0,006
"apreciado";0;0,001;0,005;0,037
"ap";0,009;0,001;0,415;0
"verbis";0;0,157;0,283;0,011
"trabalhista";0,191;0,617;0,78;0,515
"requisitar";0,002;0,348;0,351;0,001
"provável";0,048;0,08;0,019;0,071
"pesar";0;0,18;0,072;0,126
"pequeno";0,404;0,006;0,772;0,03
"obstar";0;0,001;0,105;0,195
"nantes";0,44;0,774;0,011;0,075
"marcar";0,042;0;0,253;0,67
"líder";0;0;0,002;0,005
"loureto";0,068;0,004;0;0,82
"limitado";0,054;0,815;0,049;0,959
"legalmente";0,993;0,001;0,007;0
"isolado";0,103;0;0,064;0,23
"interpor";0,952;0,002;0,053;0
"interessado";0,899;0,338;0,2;0,044
"inibir";0,009;0,151;0,022;0,027
"informativo";0,249;0;0,007;0,264
"gravar";0,012;0;0,173;0,019
"estimular";0,001;0;0,072;0,018
"envolvimento";0,91;0,702;0,05;0,022
"elevado";0,022;0,059;0,375;0,172
"detentor";0;0,154;0,611;0
"desnecessário";0,005;0,001;0,082;0,056
"desejar";0,103;0;0,339;0,044
"desafio";0,002;0;0,006;0,108
"desafiar";0,709;0,081;0,982;0,172
"consolidado";0,103;0,869;0,339;0,014
"arrolar";0,294;0,978;0;0,007
"afinal";0,141;0,386;0,992;0,013
"adotado";0,04;0,229;0,028;0,146
"abordagem";0,045;0,003;0,16;0,666
"vulnerabilidade";0,002;0,325;0;0,011
"volta";0,007;0,081;0;0,126
"urgência";0,294;0,004;0,201;0,539
"término";0;0,038;0,913;0,002
"transgressão";0,002;0,022;0,09;0
"transcrição";0,083;0,03;0,011;0,008
"temer";0,04;0,216;0,275;0,051
"seguidor";0;0;0,009;0,002
"revisão";0,594;0,071;0,51;0,501
"reprovável";0,019;0,109;0,011;0,001
"rememoro";0;0,003;0,007;0,172
"relacionar";0,504;0,027;0,778;0,071
"recomendar";0,696;0,032;0;0,264
"presidir";0,068;0,702;0,568;0,285
"posicionamento";0,202;0,662;0,028;0,285
"plenamente";0;0,18;0,072;0,126
"patente";0,582;0,183;0,093;0,447
"militar";0,002;0,18;0;0,001
"longe";0,249;0;0,18;0,264
"livremente";0,022;0;0,072;0,901
"intenso";0,001;0;0,666;0,126
"formado";0,042;0;0,506;0,084
"equipamento";0,002;0,669;0;0,013
"elaborar";0,876;0,183;0,108;0,008
"disparar";0,925;0;0,011;0,011
"desejo";0,012;0;0,843;0,002
"decorrência";0,44;0,059;0,024;0,341
"criticar";0,022;0,138;0,006;0,126
"coordenador";0;0,027;0;0,003
"converter";0,015;0,229;0,201;0,007
"consequente";0,183;0,01;0,015;0
"completamente";0,709;0,18;0;0,006
"bucchianeri";0,865;0,18;0,178;0,005
"assinar";0,064;0,653;0;0,003
"asserção";0;0,001;0,009;0,169
"assembleia";0,068;0;0,008;0,007
"aperibé";0,002;0,22;0;0,01
"apagado";0;0,007;0;0,003
"antonio";0,025;0,031;0,418;0,34
"ads";0,18;0;0,155;0,198
"acionar";0,083;0,01;0,011;0,002
"acaso";0,151;0,029;0,628;0,26
"abaixo";0,514;0,007;0,443;0,006
"êxito";0,15;0,001;0,201;0,539
"violência";0,009;0;0,201;0,022
"thereza";0;0,001;0,028;0,301
"surpresa";0;0,096;0,008;0,002
"rápido";0,064;0,029;0,628;0,5
"responsabilização";0,294;0,004;0,008;0
"raposo";0,177;0,274;0,106;0,26
"quantidade";0,188;0,758;0,283;0,442
"pugnar";0,001;0,001;0,255;0,169
"proveito";0,783;0,428;0,028;0,137
"protelatórias";0;0,001;0,008;0,002
"postura";0,973;0,006;0,253;0,084
"pleitear";0;0,325;0,283;0,036
"paraíba";0,003;0;0,015;0,424
"opção";0,015;0;0,851;0,39
"oposição";0,713;0,021;0,105;0,195
"operar";0,07;0,01;0,009;0,026
"ms";0,005;0,001;0,008;0,006
"lógico";0;0,397;0,082;0,146
"instabilidade";0,217;0,059;0,007;0,002
"ingresso";0;0,102;0,032;0,012
"inferir";0,04;0,038;0,201;0,285
"histórico";0,876;0,737;0,093;0,041
"faltar";0,973;0,298;0,442;0,084
"exceção";0,617;0,229;0,028;0,82
"exato";0,049;0,817;0,772;0,03
"enorme";0,019;0,758;0;0,011
"dificuldade";0,202;0,107;0,724;0,007
"diferentemente";0;0,001;0,108;0,026
"dezembro";0,291;0,027;0,049;0,5
"curto";0,015;0,006;0,253;0,38
"corrupção";0,151;0,386;0,317;0,115
"correto";0,085;0,758;0,383;0,003
"coronel";0,001;0,004;0;0,006
"congresso";0,001;0,702;0;0,061
"citação";0;0,033;0,015;0,3
"checagem";0;0;0,041;0,003
"aproveitar";0,753;0,109;0,558;0,442
"agenda";0,059;0,001;0,882;0,216
"advertência";0,04;0,229;0,028;0,146
"ad";0;0,045;0,009;0,026
"zona";0,458;0,466;0,001;0,119
"vínculo";0,013;0,43;0,153;0,564
"vitor";0,003;0,01;0;0,004
"verídico";0,052;0;0,283;0,036
"versiani";0;0,002;0,011;0
"sintetizar";0,664;0,021;0,01;0,657
"salutar";0,582;0;0,009;0,071
"rms";0;0,001;0,009;0
"respectivamente";0,079;0,148;0,355;0,208
"reprimir";0,102;0,817;0,036;0
"repressão";0,042;0,133;0;0,002
"record";0,007;0;0,047;0,043
"praticamente";0,217;0,143;0,085;0,084
"pontual";0,849;0,029;0,317;0,26
"ponderar";0,027;0,452;0,093;0,925
"plausibilidade";0,141;0,653;0,317;0,823
"pacífico";0,616;0,902;0,011;0,059
"liame";0;0,005;0,226;0,925
"imunidade";0,001;0,03;0,255;0,739
"herman";0,181;0,001;0,009;0
"expresso";0,188;0,58;0,119;0,577
"exibição";0,042;0;0,442;0,03
"execução";0,222;0,255;0,173;0,162
"espontâneo";0,345;0;0,226;0,026
"escrever";0,628;0,033;0;0,016
"empregar";0,005;0;0,036;0,657
"edição";0,001;0,059;0,01;0
"desfavorável";0,019;0;0,079;0,084
"desconhecer";0,162;0,75;0,601;0,02
"contratado";0,05;0,664;0,131;0,764
"continência";0;0,002;0,013;0,003
"cabimento";0,003;0,201;0,418;0,245
"benjamin";0,181;0,001;0,009;0
"automático";0,268;0,131;0,196;0
"artístico";0,015;0,143;0,01;0
"artificial";0,528;0;0,009;0,026
"arnaldo";0;0,002;0,011;0
"ar";0;0,081;0;0,002
"admitido";0,079;0,033;0,015;0
"óbvio";0,43;0,492;0,226;0,645
"veracidade";0,015;0,002;0,069;0,288
"totalmente";0,628;0,092;0;0,004
"terrorista";0,002;0,157;0;0,003
"sancionadora";0;0,001;0,01;0,39
"rol";0;0,012;0,061;0,158
"resumo";0,832;0,725;0,063;0,022
"ressalva";0,125;0,015;0,443;0,123
"respeitar";0,151;0,386;0,327;0,823
"reforço";0,188;0,58;0,7;0,226
"recursal";0;0,002;0,011;0,577
"rapidamente";0,006;0,001;0,02;0,011
"publicamente";0,009;0;0,539;0,01
"propagar";0,064;0;0,135;0,013
"potencialmente";0,079;0,148;0,153;0,086
"planilha";0,001;0,131;0;0,006
"oposto";0,103;0,148;0,355;0,016
"obtido";0,717;0,916;0,674;0,906
"nível";0,001;0,04;0;0,06
"molde";0,124;0,242;0,92;0,577
"martins";0,334;0,58;0,387;0,759
"listar";0,334;0,034;0,145;0,014
"investigatório";0,018;0,133;0,028;0,002
"inadmissível";0;0,075;0,152;0,091
"ilegítimo";0,064;0,029;0,013;0,042
"floriano";0,94;0,304;0,512;0,707
"excerto";0,026;0,04;0,017;0,062
"descabe";0,002;0,006;0,105;0,38
"dependência";0,012;0;0,739;0,345
"decretar";0;0,002;0,992;0,5
"corpo";0,003;0;0,872;0,046
"claudia";0,824;0,317;0,271;0,023
"chave";0,019;0;0,698;0,084
"acontecimento";0,004;0,909;0,069;0,185
"sustentação";0;0,817;0,028;0,038
"subsidiar";0,222;0,253;0;0,345
"solicitação";0,849;0,184;0;0,003
"sentimento";0;0;0,92;0,003
"sancionar";0,019;0,156;0,079;0
"restringir";0,073;0,111;0,025;0,019
"reduzir";0,052;0;0,011;0,442
"qualificação";0;0,065;0,041;0,744
"provedor";0,746;0,075;0,042;0,712
"prisão";0,183;0,01;0;0,016
"previsto";0,153;0,022;0,025;0,004
"pasta";0,009;0,466;0;0,038
"participante";0,121;0,007;0,778;0,185
"parcela";0,184;0;0,252;0,032
"paralelo";0,545;0;0,013;0,013
"pan";0,002;0,46;0;0,003
"orquestrar";0,717;0,058;0,053;0,564
"of";0,029;0;0,015;0,3
"obscuridade";0;0,023;0,011;0,011
"noronha";0,002;0,002;0,047;0
"motivação";0,085;0,109;0,558;0,003
"mentiroso";0,001;0,027;0,004;0,185
"materializar";0,052;0,902;0,011;0
"ligar";0,697;0,595;0,005;0,115
"legalidade";0,183;0,43;0;0,3
"inédito";0,849;0;0,047;0,003
"insistir";0,052;0,014;0,7;0,442
"incutir";0,002;0;0,011;0,036
"incerteza";0;0;0,558;0,908
"governança";0,002;0;0,041;0,011
"entrega";0,284;0,218;0,193;0,279
"entendido";0,291;0,008;0,047;0,001
"empírico";0,47;0,902;0,041;0,006
"distribuir";0,014;0;0,753;0,398
"disciplina";0;0,027;0,013;0,26
"desviar";0;0,902;0,174;0,006
"descobrir";0;0,023;0,383;0,003
"crença";0,006;0;0,119;0,442
"concordar";0,381;0,75;0,601;0,079
"combater";0,183;0,148;0,275;0,3
"cnn";0,545;0,009;0,628;0,013
"cabo";0,47;0,758;0,065;0,226
"básico";0,007;0,192;0,047;0,001
"botar";0,001;0,002;0;0,004
"arrecadação";0,225;0,817;0,24;0,629
"aproximadamente";0,024;0,01;0,007;0,008
"amplitude";0;0,43;0,015;0,3
"aime";0;0,002;0,013;0,043
"aferido";0,616;0,065;0,011;0
"acessível";0,023;0;0,317;0,013
"volume";0,059;0,893;0,96;0,032
"travar";0,023;0;0,628;0,115
"tranquilidade";0,308;0,077;0;0,013
"terminar";0,588;0,058;0;0,027
"senador";0,001;0,414;0;0,006
"respaldo";0,171;0,04;0,226;0,634
"reexame";0,002;0,008;0,013;0,115
"qualificado";0,151;0,991;0,613;0,042
"punição";0,151;0,653;0,135;0,001
"prejudicado";0,072;0,003;0,739;0,162
"porventura";0,001;0,131;0;0,185
"perquirir";0,007;0,184;0,013;0,498
"peculiaridade";0,059;0,402;0,025;0,395
"organizado";0,007;0;0,327;0,013
"moldura";0,007;0,077;0,317;0,823
"midiática";0,009;0,058;0,015;0,002
"luis";0,044;0,04;0,568;0,549
"litisconsorte";0;0,027;0,013;0,115
"júnior";0,468;0,954;0,064;0,401
"investir";0,007;0,386;0,047;0
"invasor";0;0,077;0;0,043
"insinuar";0,002;0,991;0;0,013
"incluído";0;0,156;0,022;0,216
"impugnação";0;0,003;0,017;0,158
"impender";0;0,11;0,061;0,345
"gravoso";0,545;0,002;0,135;0
"formal";0,021;0,184;0,135;0,821
"ferir";0,023;0,002;0,047;0,26
"falha";0,079;0,148;0,009;0,051
"fakhoury";0,421;0,236;0,106;0,26
"extrapolação";0;0,01;0,015;0,3
"estruturado";0,121;0,002;0,019;0,559
"essência";0,717;0,092;0,053;0,002
"epistêmica";0,001;0;0,053;0,004
"entornar";0;0,027;0,135;0,003
"distrito";0,064;0,669;0,317;0,013
"descrição";0,007;0,374;0,317;0,26
"decretação";0,125;0,015;0,019;0,003
"cpi";0,002;0,026;0;0,01
"conclusivo";0,004;0,004;0,069;0,123
"compromisso";0,717;0,058;0,933;0,016
"caracterizado";0,308;0,653;0,013;0
"bicentenário";0,001;0;0,022;0,027
"associado";0,133;0,068;0,235;0,401
"amoldar";0,064;0,386;0,013;0,001
"albergar";0,225;0,024;0,028;0,32
"vítima";0,098;0;0,739;0,06
"viver";0,003;0;0,933;0,135
"terceirizada";0,001;0,048;0;0,006
"tarefa";0;0,562;0,196;0,022
"suspender";0;0,296;0,019;0,022
"suscitar";0;0,092;0,053;0,051
"supedâneo";0,059;0,005;0,025;0,004
"subscrever";0,927;0,004;0;0,084
"sistemático";0,04;0,581;0,015;0,564
"sergio";0,079;0,033;0,015;0
